case,num_grid,domain_length,delta_x,m,alpha,tau,physical_dt,steps,physical_final_time,omega_dt,qsvt_R
A,8,8.0,1.0,1,4.0,1.0,0.25,200,50.0,0.25,5
B,8,8.0,1.0,2,2.0099751242241783,1.0,0.4975185951049945,210,104.47890497204884,0.04975185951049945,5
B,8,8.0,1.0,3,7.09929573971954,1.0,0.14085904245475275,710,100.00992014287445,0.014085904245475275,5
B,8,8.0,1.0,4,20.562101059959804,1.0,0.04863316239347162,2056,99.98978188097765,0.004863316239347162,5
C,11,44.0,4.0,2,2.36345880014863,1.0,0.423108708278356,128,54.15791465962957,0.0423108708278356,5
C,22,44.0,2.0,2,4.6224993239588485,1.0,0.2163331846944587,250,54.08329617361467,0.02163331846944587,5
C,33,44.0,1.3333333333333333,2,6.918114808240754,1.0,0.14454804924729134,374,54.06097041848696,0.014454804924729133,5
C,44,44.0,1.0,2,9.250945897582584,1.0,0.10809705419002781,500,54.0485270950139,0.010809705419002781,5
